t_ns,wall_s,substeps,dt_ps,limiter,Va_kV,ne_max,nip_max,E_max_kVcm,z_head_mm,N_OP,N_O3,N_NO,F_init
0,0,0,0,-,0,0,1e+09,0,nan,0,0,0,0
1.36388,0.0410136,6,113.884,ionization,11.0601,4.37358e+11,1.07083e+09,45.8499,nan,2557.37,0.0521686,0.00495887,0.0228281
8.47729,60.0441,8166,2.42461,semi:ionization,18.8943,9.60857e+21,9.9522e+21,114.802,0,3.17719e+13,9.65199e+08,2.83403e+11,1
10.9657,120.309,10224,0.85949,semi:ionization,10.7099,9.78707e+21,9.98373e+21,151.499,0,7.37804e+15,3.0657e+11,1.82159e+14,1
12.1157,180.384,11562,0.85949,semi:ionization,0.190107,9.73181e+21,9.9847e+21,192.216,0,2.50779e+16,1.59169e+12,8.37613e+14,1
13.2244,240.501,12852,0.85949,semi:ionization,11.7954,9.97904e+21,9.98554e+21,291.394,0,6.31813e+16,5.06483e+12,2.47244e+15,1
14.3125,300.645,14118,0.85949,semi:ionization,8.49464,9.97967e+21,9.98586e+21,239.481,0,1.58122e+17,1.37021e+13,6.52582e+15,1
15.3955,360.687,15378,0.85949,semi:ionization,10.1341,9.98011e+21,9.98602e+21,276.308,0,3.2434e+17,3.28321e+13,1.48181e+16,1
16.4888,420.91,16650,0.85949,semi:ionization,12.9859,9.97971e+21,9.9858e+21,298.399,0,5.43658e+17,6.84056e+13,2.90266e+16,1
17.5666,481.088,17904,0.85949,semi:ionization,8.8947,9.98098e+21,9.98527e+21,241.305,0,7.69652e+17,1.21721e+14,4.85546e+16,1
18.6598,541.279,19176,0.85949,semi:ionization,6.92972,9.97957e+21,9.98541e+21,246.842,0,1.02503e+18,1.954e+14,7.38495e+16,1
19.7376,601.549,20430,0.85949,semi:ionization,8.78172,9.98598e+21,9.98681e+21,279.706,0,1.29143e+18,2.89747e+14,1.05493e+17,1
20.8258,661.8,21696,0.85949,semi:ionization,8.94513,9.98803e+21,9.98561e+21,357.085,0,1.53407e+18,4.05805e+14,1.43461e+17,1
21.9036,721.909,22950,0.85949,semi:ionization,6.17909,9.98293e+21,9.98619e+21,493.449,0,1.75572e+18,5.39297e+14,1.86294e+17,1
22.9607,781.96,24180,0.85949,semi:ionization,28.4396,9.98671e+21,9.98844e+21,1308,0,2.00817e+18,6.89173e+14,2.34568e+17,1
24.0489,842.178,25446,0.85949,semi:ionization,28.302,9.99107e+21,9.9922e+21,4728.41,0,2.31477e+18,8.66188e+14,2.92562e+17,1
25.1473,902.238,26724,0.85949,semi:ionization,28.0872,9.99911e+21,9.9964e+21,6615.21,0,2.66313e+18,1.07232e+15,3.60671e+17,1
26.2354,962.384,27990,0.85949,semi:ionization,27.8742,9.99991e+21,9.99788e+21,8848.15,0,3.00259e+18,1.30499e+15,4.36884e+17,1
27.3029,1022.6,29232,0.85949,semi:ionization,27.6657,9.99998e+21,9.99898e+21,9143.92,0,3.3298e+18,1.55979e+15,5.18816e+17,1
28.3601,1082.75,30462,0.85949,semi:ionization,27.4598,9.99999e+21,9.99921e+21,8956.01,0,3.6337e+18,1.83744e+15,6.06308e+17,1
29.4327,1142.88,31710,0.85949,semi:ionization,27.2519,1e+22,9.99975e+21,8900.85,0,3.94003e+18,2.14426e+15,7.01449e+17,1
30.5002,1203.16,32952,0.85949,semi:ionization,27.0461,1e+22,9.99992e+21,9245.91,0,4.14643e+18,2.47035e+15,8.00627e+17,1
31.5625,1263.43,34188,0.85949,semi:ionization,26.8425,1e+22,9.99995e+21,9228.07,0,4.28271e+18,2.80841e+15,9.01538e+17,1
32.6248,1323.64,35424,0.85949,semi:ionization,26.6403,1e+22,9.99983e+21,8732.29,0,4.36806e+18,3.15509e+15,1.00306e+18,1
33.682,1383.7,36654,0.85949,semi:ionization,26.4403,9.99999e+21,9.99872e+21,8648.61,0,4.45567e+18,3.50668e+15,1.10446e+18,1
34.734,1443.74,37878,0.85949,semi:ionization,26.2427,9.99999e+21,9.99894e+21,7877.42,0,4.51107e+18,3.86252e+15,1.20598e+18,1
35.7706,1503.89,39084,0.85949,semi:ionization,26.0494,9.99999e+21,9.99877e+21,6678.14,0,4.55488e+18,4.21696e+15,1.30548e+18,1
36.8277,1564.09,40314,0.85949,semi:ionization,25.8536,9.99999e+21,9.99899e+21,7857.69,0,4.57564e+18,4.58096e+15,1.40583e+18,1
37.9055,1624.16,41568,0.85949,semi:ionization,25.6554,9.99999e+21,9.99957e+21,7895.67,0,4.58601e+18,4.95329e+15,1.50671e+18,1
38.9576,1684.19,42792,0.85949,semi:ionization,25.4635,9.99999e+21,9.9996e+21,7901.93,0,4.59427e+18,5.31742e+15,1.60335e+18,1
