t_ns,wall_s,substeps,dt_ps,limiter,Va_kV,ne_max,nip_max,E_max_kVcm,z_head_mm,N_OP,N_O3,N_NO,F_init,I_A
0,0,0,0,-,0,0,1e+09,0,nan,0,0,0,0,0
1.36388,0.0442135,6,113.884,ionization,11.0601,4.37358e+11,1.07083e+09,45.8499,nan,2557.37,0.0521686,0.00495887,0.0228281,8.60929e-09
6.71887,30.0475,4320,0.632376,dielectric,27.6173,9.07714e+20,9.51816e+20,138.998,5.125,8.12036e+11,2.96543e+07,1.01809e+10,1,0.0494127
8.53247,60.2087,8190,2.11141,semi:ionization,19.0615,9.85044e+21,9.9584e+21,131.892,0,4.05989e+13,1.11526e+09,3.4307e+11,1,10.049
10.3159,90.3561,9468,0.85949,semi:ionization,15.198,9.86994e+21,9.98384e+21,211.426,0,2.28645e+15,8.02384e+10,4.56141e+13,1,14.5701
10.9399,120.451,10194,0.85949,semi:ionization,5.88765,9.79616e+21,9.98373e+21,151.248,0,7.13258e+15,2.9246e+11,1.74284e+14,1,23.9958
11.4659,150.588,10806,0.85949,semi:ionization,2.96607,9.81095e+21,9.98391e+21,222.158,0,1.30229e+16,6.85472e+11,3.83918e+14,1,26.9808
12.028,180.821,11460,0.85949,semi:ionization,0.857115,9.75128e+21,9.98469e+21,185.287,0,2.31057e+16,1.43246e+12,7.59671e+14,1,29.1288
12.5643,210.98,12084,0.85949,semi:ionization,0,9.85187e+21,9.98488e+21,267.315,0,3.69786e+16,2.63346e+12,1.33297e+15,1,44.7476
13.08,241.035,12684,0.85949,semi:ionization,16.3806,9.92698e+21,9.98538e+21,285.865,0,5.60062e+16,4.41676e+12,2.16802e+15,1,13.614
13.5957,271.233,13284,0.85949,semi:ionization,8.1734,9.97947e+21,9.98556e+21,217.824,0,8.80433e+16,7.1593e+12,3.46985e+15,1,21.8011
14.1063,301.247,13878,0.85949,semi:ionization,7.60998,9.9796e+21,9.98569e+21,259.003,0,1.3543e+17,1.14217e+13,5.48212e+15,1,22.3317
14.6065,331.352,14460,0.85949,semi:ionization,7.72171,9.97898e+21,9.98603e+21,266.076,0,1.94416e+17,1.7599e+13,8.27233e+15,1,22.1773
15.117,361.482,15054,0.85949,semi:ionization,7.83977,9.98082e+21,9.98597e+21,431.776,0,2.7374e+17,2.65565e+13,1.21654e+16,1,22.0066
15.6224,391.667,15642,0.85949,semi:ionization,10.169,9.98047e+21,9.98603e+21,316.579,0,3.67522e+17,3.875e+13,1.72729e+16,1,19.6176
16.1329,421.94,16236,0.85949,semi:ionization,16.3632,9.97947e+21,9.98604e+21,378.189,0,4.69153e+17,5.48162e+13,2.37253e+16,1,13.3562
16.6332,452.1,16818,0.85949,semi:ionization,11.6755,9.98013e+21,9.98559e+21,250.33,0,5.74016e+17,7.44905e+13,3.13522e+16,1,17.9727
17.1334,482.134,17400,0.85949,semi:ionization,9.94433,9.98119e+21,9.98543e+21,289.763,0,6.77325e+17,9.80907e+13,4.01118e+16,1,19.6279
17.6388,512.307,17988,0.85949,semi:ionization,8.19804,9.98102e+21,9.98521e+21,219.042,0,7.85245e+17,1.25953e+14,5.00389e+16,1,21.2935
18.1338,542.491,18564,0.85949,semi:ionization,5.42537,9.9817e+21,9.98503e+21,214.981,0,8.96744e+17,1.57321e+14,6.08825e+16,1,23.9839
18.6392,572.564,19152,0.85949,semi:ionization,7.34222,9.98189e+21,9.98536e+21,243.351,0,1.01989e+18,1.9381e+14,7.33104e+16,1,21.9802
19.1549,602.833,19752,0.85949,semi:ionization,6.77895,9.98327e+21,9.98622e+21,339.747,0,1.15202e+18,2.3601e+14,8.75587e+16,1,22.4523
19.6655,632.963,20346,0.85949,semi:ionization,8.66631,9.9841e+21,9.98685e+21,350.206,0,1.27487e+18,2.82761e+14,1.0318e+17,1,20.4727
20.0007,652.786,20736,0.85949,semi:ionization,13.9442,9.98427e+21,9.98594e+21,409.657,0,1.35336e+18,3.15968e+14,1.14142e+17,1,15.1334
20.0007,652.785,20736,0.85949,semi:ionization,13.9442,9.98427e+21,9.98594e+21,409.657,0,1.35336e+18,3.15968e+14,1.14142e+17,1,15.1334
