t_ns,wall_s,substeps,dt_ps,limiter,Va_kV,ne_max,nip_max,E_max_kVcm,z_head_mm,N_OP,N_O3,N_NO,F_init
0,0,0,0,-,0,0,1e+09,0,nan,0,0,0,0
1.04943,0.241335,6,104.577,ionization,8.91069,6.31122e+11,1.05101e+09,47.4263,nan,660.707,0.00820634,0.000246678,0.00346959
3.70757,60.4443,1530,0.650416,dielectric,21.819,5.02614e+20,5.86679e+20,123.414,9,1.33614e+10,290322,1.20948e+08,1
5.15941,120.651,3246,0.856651,dielectric,25.3734,6.10037e+20,6.502e+20,112.368,8,2.48639e+11,1.01715e+07,3.25196e+09,1
6.10885,180.677,4956,0.428813,dielectric,26.9152,1.01974e+21,1.05212e+21,142.709,7,8.07245e+11,4.56981e+07,1.23687e+10,1
6.748,240.854,6666,0.3641,dielectric,27.6986,1.33632e+21,1.35699e+21,172.8,6.1875,1.43407e+12,9.83843e+07,2.50368e+10,1
7.28822,300.943,8232,0.336542,dielectric,28.2324,1.48649e+21,1.55906e+21,178.015,5.4375,2.17132e+12,1.71385e+08,4.10873e+10,1
7.97226,361.048,9690,0.41443,dielectric,28.7685,1.04421e+21,1.28218e+21,136.636,4.3125,3.01914e+12,3.07004e+08,6.93822e+10,1
8.78255,421.247,11412,0.593268,dielectric,29.239,6.49536e+20,1.0589e+21,138.887,2.6875,4.42842e+12,5.28658e+08,1.21594e+11,1
9.03426,434.677,11796,0.771951,dielectric,29.3548,5.65766e+20,1.00461e+21,150.384,0,5.5302e+12,6.20842e+08,1.48412e+11,1
